UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);28,780487805
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;41
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;39
AC;Brasiléia;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;1180
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);23,417218543
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;453
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;271
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;10608
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);28,774509804
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;204
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;250
AC;Rio Branco;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;5870
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);17,263157895
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;76
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;46
AC;Sena Madureira;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;1312
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);33,768844221
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;199
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;192
AC;Tarauacá;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;6720
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);59,227373923
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;10331
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;10876
AL;Arapiraca;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;611878
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);61,988902353
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;15679
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;16705
AL;Litoral Norte Alagoano;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;971924
AL;Maceió;Quantidade Produzida;Q2;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);59,559284240
AL;Maceió;Quantidade Produzida;Q2;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;54264
AL;Maceió;Quantidade Produzida;Q2;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;54412
AL;Maceió;Quantidade Produzida;Q2;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;3231925
AL;Mata Alagoana;Quantidade Produzida;Q3;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);57,334508194
AL;Mata Alagoana;Quantidade Produzida;Q3;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;110084
AL;Mata Alagoana;Quantidade Produzida;Q3;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;110803
AL;Mata Alagoana;Quantidade Produzida;Q3;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;6311612
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);55,254411765
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;680
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;683
AL;Palmeira dos Índios;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;37573
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);62,497504160
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Colhida;27045
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Área Plantada;29158
AL;Penedo;Quantidade Produzida;Q1;2005;BRASIL;BRASIL;Cana-de-Açúcar;Qtde Produzida;1690245
AL;São Miguel dos Campos;Quantidade Produzida;Q3;2005;BRASIL;BRASIL;Cana-de-Açúcar;Média de Produtividade (Área Colhida);58,883449765
