UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,839393939
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Colhida;3960
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Plantada;3960
AC;Brasiléia;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Qtde Produzida;7284
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,369061876
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Colhida;5010
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Plantada;5010
AC;Cruzeiro do Sul;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Qtde Produzida;6859
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);2,260369775
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Colhida;12440
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Plantada;12440
AC;Rio Branco;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Qtde Produzida;28119
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,876822917
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Colhida;3840
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Plantada;3840
AC;Sena Madureira;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Qtde Produzida;7207
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Média de Produtividade (Área Colhida);1,760454545
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Colhida;6600
AC;Tarauacá;Quantidade Produzida;Q1;2008;BRASIL;BRASIL;Milho;Área Plantada;6600
