UF;Microrregião;Variável;Quartel;Ano;Nível;Território;Produto;Nomes de medida;Valores de medida
AL;Mata Alagoana;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2
AL;Mata Alagoana;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;48
AL;Mata Alagoana;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;48
AL;Mata Alagoana;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;96
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);1,973913043
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;230
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;230
AL;São Miguel dos Campos;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;454
AP;Amapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);1,091816367
AP;Amapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;501
AP;Amapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;515
AP;Amapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;547
AP;Macapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,713008283
AP;Macapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;10624
AP;Macapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;10850
AP;Macapá;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;28823
BA;Barreiras;Quantidade Produzida;Q4;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,150961705
BA;Barreiras;Quantidade Produzida;Q4;2015;BRASIL;BRASIL;Soja;Área Colhida;1154200
BA;Barreiras;Quantidade Produzida;Q4;2015;BRASIL;BRASIL;Soja;Área Plantada;1154200
BA;Barreiras;Quantidade Produzida;Q4;2015;BRASIL;BRASIL;Soja;Qtde Produzida;3636840
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);4
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;2450
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;2450
BA;Bom Jesus da Lapa;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;9800
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);3,058575546
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Área Colhida;283463
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Área Plantada;283463
BA;Santa Maria da Vitória;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Qtde Produzida;866993
GO+DF;Anápolis;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,803493822
GO+DF;Anápolis;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;23470
GO+DF;Anápolis;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;23520
GO+DF;Anápolis;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;65798
GO+DF;Anicuns;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,496648794
GO+DF;Anicuns;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;14920
GO+DF;Anicuns;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;14920
GO+DF;Anicuns;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;37250
GO+DF;Aragarças;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,324337845
GO+DF;Aragarças;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;71962
GO+DF;Aragarças;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;71962
GO+DF;Aragarças;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;167264
GO+DF;Brasília;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,626005634
GO+DF;Brasília;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;68862
GO+DF;Brasília;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;68862
GO+DF;Brasília;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Qtde Produzida;180832
GO+DF;Catalão;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,860944041
GO+DF;Catalão;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Área Colhida;260370
GO+DF;Catalão;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Área Plantada;260470
GO+DF;Catalão;Quantidade Produzida;Q2;2015;BRASIL;BRASIL;Soja;Qtde Produzida;744904
GO+DF;Ceres;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Média de Produtividade (Área Colhida);2,892433315
GO+DF;Ceres;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Colhida;18370
GO+DF;Ceres;Quantidade Produzida;Q1;2015;BRASIL;BRASIL;Soja;Área Plantada;19270
